# Numerov wave function for l=5
# r  Re(psi)  Im(psi)
13.020000  0.8347281845  0.3326794096
13.040000  0.8433113612  0.3351477782
13.060000  0.8515513777  0.3374797687
13.080000  0.8594446820  0.3396743530
13.100000  0.8669878601  0.3417305586
13.120000  0.8741776381  0.3436474686
13.140000  0.8810108837  0.3454242223
13.160000  0.8874846074  0.3470600158
13.180000  0.8935959645  0.3485541021
13.200000  0.8993422563  0.3499057919
13.220000  0.9047209312  0.3511144535
13.240000  0.9097295867  0.3521795137
13.260000  0.9143659697  0.3531004578
13.280000  0.9186279784  0.3538768300
13.300000  0.9225136633  0.3545082334
13.320000  0.9260212279  0.3549943309
13.340000  0.9291490302  0.3553348449
13.360000  0.9318955833  0.3555295576
13.380000  0.9342595561  0.3555783113
13.400000  0.9362397748  0.3554810085
13.420000  0.9378352227  0.3552376120
13.440000  0.9390450416  0.3548481453
13.460000  0.9398685321  0.3543126921
13.480000  0.9403051542  0.3536313967
13.500000  0.9403545277  0.3528044644
13.520000  0.9400164327  0.3518321607
13.540000  0.9392908097  0.3507148119
13.560000  0.9381777602  0.3494528049
13.580000  0.9366775469  0.3480465869
13.600000  0.9347905933  0.3464966657
13.620000  0.9325174843  0.3448036092
13.640000  0.9298589661  0.3429680455
13.660000  0.9268159459  0.3409906625
13.680000  0.9233894920  0.3388722081
13.700000  0.9195808332  0.3366134894
13.720000  0.9153913592  0.3342153729
13.740000  0.9108226195  0.3316787840
13.760000  0.9058763234  0.3290047069
13.780000  0.9005543394  0.3261941839
13.800000  0.8948586945  0.3232483154
13.820000  0.8887915740  0.3201682594
13.840000  0.8823553202  0.3169552310
13.860000  0.8755524321  0.3136105021
13.880000  0.8683855643  0.3101354009
13.900000  0.8608575261  0.3065313112
13.920000  0.8529712809  0.3027996724
13.940000  0.8447299445  0.2989419784
13.960000  0.8361367846  0.2949597773
13.980000  0.8271952191  0.2908546711
14.000000  0.8179088155  0.2866283143
14.020000  0.8082812887  0.2822824143
14.040000  0.7983165006  0.2778187299
14.060000  0.7880184578  0.2732390710
14.080000  0.7773913108  0.2685452978
14.100000  0.7664393519  0.2637393203
14.120000  0.7551670137  0.2588230972
14.140000  0.7435788677  0.2537986354
